vote_id,for_or_against,vote_topic,vote_date,politic_name,vote_category
vote_3725,CONTRE,Projet de loi constitutionnelle modifiant le corps électoral en Nouvelle-Calédonie,14 mai 2024,manuel-bompard,institutions
vote_3626,CONTRE,Limiter l'usage des polluants éternels (PFAS) : exclure les ustensiles de cuisine du texte,04 avr. 2024,manuel-bompard,sante-solidarite
vote_3643,POUR,Proposition de loi visant à limiter la diffusion des polluants éternels (PFAS),04 avr. 2024,manuel-bompard,sante-solidarite
vote_3653,POUR,Instaurer des prix planchers pour les agriculteurs,04 avr. 2024,manuel-bompard,agriculture
vote_3562,CONTRE,Projet de loi renforçant la lutte contre les dérives sectaires,20 mars 2024,manuel-bompard,institutions
vote_3546,CONTRE,Projet de loi relatif à la gouvernance de la sûreté nucléaire,19 mars 2024,manuel-bompard,institutions
vote_3508,POUR,Proposition de loi visant à réduire l'impact environnemental de l'industrie textile,14 mars 2024,manuel-bompard,environnement
vote_3514,CONTRE,Assouplir les règles de cumul des mandats pour les députés et sénateurs,14 mars 2024,manuel-bompard,institutions
vote_3461,CONTRE,Déclaration du gouvernement sur la stratégie d'aide à l'Ukraine,12 mars 2024,manuel-bompard,affaires-etrangeres
vote_c1,POUR,Projet de loi constitutionnelle inscrivant l'interruption volontaire de grossesse dans la Constitution (IVG),04 mars 2024,manuel-bompard,affaires-sociales
vote_3324,POUR,Obliger les cabinets de conseil à déclarer toutes leurs actions de démarchage auprès des administrations publiques,01 févr. 2024,manuel-bompard,institutions
vote_3329,POUR,Renforcer le contrôle du pantouflage entre les cabinets de conseil et l'administration publique,01 févr. 2024,manuel-bompard,institutions
vote_3289,POUR,Projet de loi visant à inscrire le droit à l'IVG dans la Constitution,30 janv. 2024,manuel-bompard,affaires-sociales
vote_3245,POUR,"Rétablir une norme de hauteur sous plafond minimale de 2,20 mètres dans les logements",23 janv. 2024,manuel-bompard,economie
vote_3213,CONTRE,Projet de loi immigration,19 déc. 2023,manuel-bompard,affaires-sociales
vote_3203,POUR,Motion de rejet du projet de loi immigration,11 déc. 2023,manuel-bompard,affaires-sociales
vote_3048,POUR,Créer une commission d'enquête sur le modèle économique et la qualité d'accueil des crèches,28 nov. 2023,manuel-bompard,affaires-sociales
vote_2988,CONTRE,Obliger les contrôleurs aériens à se déclarer en grève au moins 2 jours avant,15 nov. 2023,manuel-bompard,affaires-sociales
vote_2965,CONTRE,Projet de loi pour le plein emploi,14 nov. 2023,manuel-bompard,economie
vote_2836,POUR,Obliger les entreprises financées par le plan France 2030 à publier un bilan carbone,02 nov. 2023,manuel-bompard,environnement
vote_2826,POUR,Augmenter le budget des préfectures pour permettre un meilleur accueil des usagers,31 oct. 2023,manuel-bompard,institutions
vote_2796,CONTRE,Projet de loi visant à sécuriser et réguler l'espace numérique,17 oct. 2023,manuel-bompard,affaires-sociales
vote_2391,ABSTENTION,Lutter contre le dumping social sur le transport maritime transmanche,19 juill. 2023,manuel-bompard,affaires-sociales
vote_2046,ABSTENTION,Proposition de loi facilitant la mise en œuvre de la lutte contre l’artificialisation des sols,27 juin 2023,manuel-bompard,environnement
vote_1812,POUR,Déserts médicaux : réguler l'installation des médecins dans les zones bien pourvues en soignants,14 juin 2023,manuel-bompard,sante-solidarite
vote_1778,CONTRE,Loi de programmation militaire 2024-2030,07 juin 2023,manuel-bompard,defense-armee
vote_1762,CONTRE,Prolonger le dispositif de plafonnement de la hausse des loyers,31 mai 2023,manuel-bompard,affaires-sociales
vote_1501,CONTRE,Afficher le drapeau européen sur les façades des mairies des villes de plus de 1 500 habitants,10 mai 2023,manuel-bompard,europe
vote_1370,POUR,Proposer une option végétarienne dans les établissements de restauration collective,06 avr. 2023,manuel-bompard,sante-solidarite
vote_1361,CONTRE,Proposition de loi visant à protéger les logements contre l'occupation illicite,04 avr. 2023,manuel-bompard,justice
