vote_id,for_or_against,vote_topic,vote_date,politic_name
vote_3725,POUR,Projet de loi constitutionnelle modifiant le corps électoral en Nouvelle-Calédonie,14 mai 2024,herve-delepinau
vote_3562,CONTRE,Projet de loi renforçant la lutte contre les dérives sectaires,20 mars 2024,herve-delepinau
vote_3546,CONTRE,Projet de loi relatif à la gouvernance de la sûreté nucléaire,19 mars 2024,herve-delepinau
vote_3461,ABSTENTION,Déclaration du gouvernement sur la stratégie d'aide à l'Ukraine,12 mars 2024,herve-delepinau
vote_c1,CONTRE,Projet de loi constitutionnelle inscrivant l'interruption volontaire de grossesse dans la Constitution (IVG),04 mars 2024,herve-delepinau
vote_3289,CONTRE,Projet de loi visant à inscrire le droit à l'IVG dans la Constitution,30 janv. 2024,herve-delepinau
vote_3213,POUR,Projet de loi immigration,19 déc. 2023,herve-delepinau
vote_3203,POUR,Motion de rejet du projet de loi immigration,11 déc. 2023,herve-delepinau
vote_2965,CONTRE,Projet de loi pour le plein emploi,14 nov. 2023,herve-delepinau
vote_2796,ABSTENTION,Projet de loi visant à sécuriser et réguler l'espace numérique,17 oct. 2023,herve-delepinau
vote_2624,POUR,Supprimer l'article créant un service public de la petite enfance,03 oct. 2023,herve-delepinau
vote_2391,POUR,Lutter contre le dumping social sur le transport maritime transmanche,19 juill. 2023,herve-delepinau
vote_2256,POUR,Loi de programmation militaire 2024-2030,12 juill. 2023,herve-delepinau
vote_2137,CONTRE,Proposition de loi renforçant l'accès des femmes aux responsabilités dans la fonction publique,05 juill. 2023,herve-delepinau
vote_2046,POUR,Proposition de loi facilitant la mise en œuvre de la lutte contre l’artificialisation des sols,27 juin 2023,herve-delepinau
vote_1812,CONTRE,Déserts médicaux : réguler l'installation des médecins dans les zones bien pourvues en soignants,14 juin 2023,herve-delepinau
vote_1778,POUR,Loi de programmation militaire 2024-2030,07 juin 2023,herve-delepinau
vote_1762,POUR,Prolonger le dispositif de plafonnement de la hausse des loyers,31 mai 2023,herve-delepinau
vote_1501,CONTRE,Afficher le drapeau européen sur les façades des mairies des villes de plus de 1 500 habitants,10 mai 2023,herve-delepinau
vote_1462,POUR,Proposition de loi réintégrant les soignants non-vaccinés contre le Covid-19,04 mai 2023,herve-delepinau
vote_1361,POUR,Proposition de loi visant à protéger les logements contre l'occupation illicite,04 avr. 2023,herve-delepinau
vote_1305,POUR,Projet de loi relatif aux Jeux olympiques de Paris 2024,28 mars 2023,herve-delepinau
vote_1243,POUR,Projet de loi d’accélération de l'énergie nucléaire,21 mars 2023,herve-delepinau
vote_1240,POUR,Réforme des retraites : Motion de censure transpartisane,20 mars 2023,herve-delepinau
vote_972,CONTRE,Retraites : créer un « index senior » dans les entreprises,14 févr. 2023,herve-delepinau
